Item,P5531,P3377,P2088,P856
Q17050423,0001494259,CARG:US,cargurus,https://www.cargurus.com/
Q30290314,0001287098,MXCT:LN,maxcyte,https://maxcyte.com/
Q17019665,,OXB:LN,oxford-biomedica,https://oxb.com/
Q4546965,0001441816,,mongodb-inc,https://www.mongodb.com/
Q4549202,0001423493,4124678Z:US,1366-technologies,https://cubicpv.com/
Q216272,0001804591,,,https://www.23andme.com/
Q30259064,0001499761,0342983Z:US,24m-technologies,https://24-m.com/
Q85738240,0001436345,0289988Z:US,33across,https://www.33across.com/
Q17507863,0001320112,,4info,
Q279389,0001167178,,a123systems,http://www.a123systems.com/
Q4667901,0001507278,8163941Z:US,abiquo-group,
Q30270758,0001427925,,acelrx-pharmaceuticals,https://www.acelrx.com
Q14944944,0001388951,,achronix-semiconductor,https://www.achronix.com/
Q4674765,0001427730,,acquia,https://www.acquia.com/
Q342813,,723006Z:US,acronis,https://www.acronis.com/
Q4676825,0001465523,0343063Z:US,actifio,https://www.actifio.com/
Q18204835,0001163932,,active-network,https://www.activenetwork.com/
Q104479894,0001165260,2251801Z:US,acufocus,https://acufocus.com/
Q100955919,0001545672,8171197Z:US,adimab,https://www.adimab.com/
Q30260263,0001368514,,adma-biologics,https://www.admabiologics.com/
Q4688284,0001372414,,aerohive-networks,https://www.extremenetworks.com/
Q4716206,0001274384,,alereon,http://www.alereon.com/
Q1359568,0001577552,BABA:US,alibaba,https://alibabagroup.com/
Q4726469,,,alien-technology,
Q4726659,0001267602,,alimera-sciences,https://alimerasciences.com/
Q16159380,0001422910,,allegro-development-corporation,https://www.allegrodev.com/
Q4733261,0001345630,,allozyne,http://allozyne.com/
Q16999083,0001428433,,,
Q16827821,0001131543,AMBI:US,ambit-biosciences,https://www.ambitbio.com/
Q100955904,0001264647,,,https://ambrx.com/
Q4744658,0001434931,0343263Z:US,american-pathology-partners,https://www.arianadx.com/
Q30268831,0001178879,,amicus-therapeutics,https://www.amicusrx.com/
Q30297684,0001125302,,aoptix-technologies,https://aoptix.com/
Q30269449,0001583887,,apnicure,https://apnicure.com/
Q50039483,0001251769,,apollo-endosurgery,https://apolloendo.com/
Q4780783,0001435043,,appdynamics,https://www.appdynamics.com/
Q4782114,,,aprimo,https://www.aprimo.com/
Q25245322,0001316016,,aquantia,
Q43894859,0001143527,,archemix,
Q50039488,0001437402,ARDX:US,ardelyx,https://ardelyx.com/
Q22021754,0001229505,,ardent-health-services,https://ardenthealth.com/
Q30286793,0001429753,,,
Q4802566,0001159412,,arxan-technologies,https://digital.ai/application-protection
Q4802629,0001464669,8398840Z:US,aryaka-networks,https://www.aryaka.com/
Q30297281,,,numotion,https://www.numotion.com/
Q757307,0001650372,,atlassian,https://www.atlassian.com/
Q30256881,0001323885,,atricure,https://www.atricure.com/
Q4812278,,4922472Z:US,workfront,https://www.workfront.com/
Q30286352,0001339970,LIFE:US,atyr-pharma,https://atyrpharma.com/
Q50813730,,,invaluable,https://www.invaluable.com/
Q2872634,0001608418,,automattic,https://automattic.com/
Q4827929,0001777921,,avepoint,https://www.avepoint.com/
Q4833037,0001240319,,azul-systems,https://www.azul.com/
Q30286506,0001636982,1275233D:US,balance-therapeutics,http://balance-therapeutics.com/
